"","brand","model","year","price","currency","type","fuel","condition","info"
"185","Tesla","Model 3 Standard Range Plus",2020,"56,700","US","sedan"," Electrico "," Usado ","2020 - Eléctrico - Usado - N/D Mi"
"186","Toyota","Corolla LE",2020,"25,995","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"187","Toyota","Camry XSE Special Edition",2020,"52,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 7,000 Mi"
"188","Volvo","S90 R Design",2020,"75,000","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"189","Mercedes-Benz","Clase E 300 AMG",2020,"73,900","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"190","Tesla","Model Y Performace",2020,"97,900","US","sedan"," Electrico "," Nuevo ","2020 - Eléctrico - Nuevo - N/D Mi"
"191","Mercedes-Benz","Clase GT 63 S AMG 4MATIC",2020,"287,500","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Km"
"192","Audi","A7",2020,"94,500","US","sedan"," Gasolina "," Nuevo ","2020 - Gasolina - Nuevo - N/D Mi"
"193","BMW","Serie 7 750 Li",2019,"160,000","US","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - 5,134 Mi"
"194","Honda","Civic Sport",2019,"24,500","US","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - N/D Mi"
"195","Toyota","Camry LE",2019,"28,900","US","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - N/D Mi"
"196","Toyota","Corolla LE",2019,"1,045,000","RD","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - N/D Mi"
"197","Honda","Civic Ex Turbo",2019,"22,500","US","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - N/D Mi"
"198","Toyota","Corolla LE",2019,"970,000","RD","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - 76,601 Mi"
"199","Kia","K-5",2019,"795,000","RD","sedan"," GLP "," Usado ","2019 - GLP - Usado - N/D Mi"
"200","Toyota","Corolla",2019,"18,000","US","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - N/D Mi"
"201","Subaru","Impreza",2019,"880,000","RD","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - N/D Mi"
"202","Honda","Civic Sport",2019,"24,500","US","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - 24,000 Mi"
"203","Mercedes-Benz","Clase E 63s AMG",2019,"150,000","US","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - 51,000 Mi"
"204","Mercedes-Benz","Clase E 300 Sport Package",2019,"64,900","US","sedan"," Gasolina "," Usado ","2019 - Gasolina - Usado - N/D Mi"
